address,city,country,name,name_url,num_animals,num_species,state
3043 North Fort,Springfield,United States,Dickerson Park Zoo,https://en.wikipedia.org/wiki/Dickerson_Park_Zoo,,,Missouri
3411 Sherman Blvd,Fort Wayne,United States,Fort Wayne Children's Zoo,https://en.wikipedia.org/wiki/Fort_Wayne_Children%27s_Zoo,"1,000","1,000",Indiana
701 Channelside Drive,Tampa,United States,Florida Aquarium,https://en.wikipedia.org/wiki/Florida_Aquarium,,,Florida
2003 Lion Country Safari Road,Loxahatchee,United States,Lion Country Safari,https://en.wikipedia.org/wiki/Lion_Country_Safari,,,Florida
2001 N Clark Street,Chicago,United States,Lincoln Park Zoo,https://en.wikipedia.org/wiki/Lincoln_Park_Zoo,"1,100","1,100",Illinois
1222 S 27th Street,Lincoln,United States,Lincoln Children's Zoo,https://en.wikipedia.org/wiki/Lincoln_Children%27s_Zoo,More than 300,More than 300,Nebraska
5150 Game Preserve Rd.,Schnecksville,United States,Lehigh Valley Zoo,https://en.wikipedia.org/wiki/Lehigh_Valley_Zoo,275,275,Pennsylvania
312 Finnup Drive,Garden City,United States,Lee Richardson Zoo,https://en.wikipedia.org/wiki/Lee_Richardson_Zoo,300,300,Kansas
10001 W Bluemound Road,Milwaukee,United States,Milwaukee County Zoo,https://en.wikipedia.org/wiki/Milwaukee_County_Zoo,"3,300 (March 2017)","3,300 (March 2017)",Wisconsin
1020 S Morris Avenue,Bloomington,United States,Miller Park Zoo,https://en.wikipedia.org/wiki/Miller_Park_Zoo,,,Illinois
2421 Bement Avenue,Evansville,United States,Mesker Park Zoo and Botanic Garden,https://en.wikipedia.org/wiki/Mesker_Park_Zoo_and_Botanic_Garden,700+,700+,Indiana
4001 SW ,Portland,United States,Oregon Zoo,https://en.wikipedia.org/wiki/Oregon_Zoo,"1,800","1,800",Oregon
2820 SE Ferry Slip Road,Newport,United States,Oregon Coast Aquarium,https://en.wikipedia.org/wiki/Oregon_Coast_Aquarium,,,Oregon
3701 S 10th St,Omaha,United States,Omaha's Henry Doorly Zoo,https://en.wikipedia.org/wiki/Henry_Doorly_Zoo_and_Aquarium,962,962,Nebraska
2101 NE 50th St,Oklahoma City,United States,Oklahoma City Zoological Park,https://en.wikipedia.org/wiki/Oklahoma_City_Zoological_Park,"1,900","1,900",Oklahoma
1600 S Beltline Hwy W,Scottsbluff,United States,Riverside Discovery Center,https://en.wikipedia.org/wiki/Riverside_Discovery_Center,200+,200+,Nebraska
500 Wildlife Pkwy,Columbia,United States,Riverbanks Zoological Park,https://en.wikipedia.org/wiki/Riverbanks_Zoo,,,South Carolina
288 Bremner Blvd,Toronto,Canada,Ripley's Aquarium of Canada,https://en.wikipedia.org/wiki/Ripley%27s_Aquarium_of_Canada,"16,000","16,000",Ontario
1301 S Pennsylvania Avenue,Lansing,United States,Potter Park Zoo,https://en.wikipedia.org/wiki/Potter_Park_Zoo,500+,500+,Michigan
500 S Greenlawn Avenue,South Bend,United States,Potawatomi Zoo,https://en.wikipedia.org/wiki/Potawatomi_Zoo,400,400,Indiana
5400 N Pearl St,Tacoma,United States,Point Defiance Zoo & Aquarium,https://en.wikipedia.org/wiki/Point_Defiance_Zoo_%26_Aquarium,,,Washington
1110 Celebrity Circle,Myrtle Beach,United States,Ripley's Aquarium at Myrtle Beach,https://en.wikipedia.org/wiki/Ripley%27s_Aquarium,,,South Carolina
455 N Galvin Pkwy,Phoenix,United States,Phoenix Zoo,https://en.wikipedia.org/wiki/Phoenix_Zoo,"3,000","3,000",Arizona
1 Government Drive,Saint Louis,United States,Saint Louis Zoo,https://en.wikipedia.org/wiki/Saint_Louis_Zoo,"18,700","18,700",Missouri
3115 Porter Creek Road,Sonoma County,United States,Safari West,https://en.wikipedia.org/wiki/Safari_West,over 1000,over 1000,California
8111 Concord Mills Boulevard,Concord,United States,Sea Life Charlotte-Concord,https://en.wikipedia.org/wiki/Sea_Life_Charlotte-Concord,,,North Carolina
"1 Legoland Dr, Carlsbad, CA 92008",Carlsbad,United States,SEA LIFE Carlsbad Aquarium,https://en.wikipedia.org/wiki/Sea_Life_Centres,,,California
5000 S Arizona Mills Cir #145,Tempe,United States,Sea Life Arizona,https://en.wikipedia.org/wiki/Sea_Life_Arizona,,,Arizona
755 S Park Dr,Salisbury,United States,Salisbury Zoo,https://en.wikipedia.org/wiki/Salisbury_Zoo,100+,100+,Maryland
